Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_35,13.0,Calle_1 (6),High,High,Micro,68.97,0.0,59.18,3.287777778,,,,,,,,,,
Ep_35,14.0,Calle_1 (1),High,High,Micro,70.83,0.0,59.69,3.316111111,,,,,,,,,,
Ep_35,15.0,Calle_1 (3),High,High,Micro,83.33,0.0,59.38,3.298888889,,,,,,,,,,
Ep_35,16.0,Calle_1 (3),High,High,Micro,95.45,0.0,59.58,3.31,,,,,,,,,,
Ep_35,17.0,Calle_1 (4),High,High,Micro,79.31,0.0,58.92,3.273333333,,,,,,,,,,
Ep_35,18.0,Calle_1 (5),High,High,Micro,71.43,0.0,58.47,3.248333333,,,,,,,,,,
Ep_35,19.0,Calle_1,High,High,Micro,59.26,0.0,58.05,3.225,,,,,,,,,,
Ep_35,20.0,Calle_1 (2),High,High,Micro,48.15,0.0,58.84,3.268888889,,,,,,,,,,
Ep_36,1.0,Calle_1 (3),High,High,Skip,73.17,0.0,49.98,2.776666667,,,,,,,,,,
Ep_36,2.0,Calle_1 (2),High,High,Skip,100.0,0.0,54.8,3.044444444,,,,,,,,,,
Ep_36,3.0,Calle_1 (1),High,High,Skip,69.7,6.06,84.74,4.707777778,,,,,,,,,,
Ep_36,4.0,Calle_1 (6),High,High,Skip,72.22,0.0,33.14,1.841111111,,,,,,,,,,
Ep_36,5.0,Calle_1 (3),High,High,Skip,83.33,0.0,54.9,3.05,,,,,,,,,,
Ep_36,6.0,Calle_1 (3),High,High,Skip,80.77,11.54,79.37,4.409444444,,,,,,,,,,
Ep_36,7.0,Calle_1 (1),High,High,Skip,73.17,7.32,109.73,6.096111111,,,,,,,,,,
Ep_36,8.0,Calle_1 (1),High,High,Skip,50.0,35.0,135.86,7.547777778,,,,,,,,,,
Ep_36,9.0,Calle_1 (1),High,High,Skip,83.33,2.38,60.81,3.378333333,,,,,,,,,,
Ep_36,10.0,Calle_1,High,High,Skip,64.0,8.0,52.88,2.937777778,,,,,,,,,,
Ep_36,11.0,Calle_1 (1),High,High,Skip,87.88,6.06,89.11,4.950555556,,,,,,,,,,
Ep_36,12.0,Calle_1 (1),High,High,Skip,90.24,2.44,62.71,3.483888889,,,,,,,,,,
Ep_36,13.0,Calle_1 (4),High,High,Skip,74.19,3.23,58.31,3.239444444,,,,,,,,,,
Ep_36,14.0,Calle_1 (2),High,High,Skip,80.0,20.0,71.74,3.985555556,,,,,,,,,,
Ep_36,15.0,Calle_1 (3),High,High,Skip,82.61,0.0,48.89,2.716111111,,,,,,,,,,
Ep_36,16.0,Calle_1,High,High,Skip,70.0,10.0,108.8,6.044444444,,,,,,,,,,
Ep_36,17.0,Calle_1 (3),High,High,Skip,90.0,0.0,35.1,1.95,,,,,,,,,,
Ep_36,18.0,Calle_1 (3),High,High,Skip,73.08,3.85,83.68,4.648888889,,,,,,,,,,
Ep_36,19.0,Calle_1 (6),High,High,Skip,69.57,0.0,44.45,2.469444444,,,,,,,,,,
Ep_36,20.0,Calle_1 (3),High,High,Skip,69.57,0.0,54.66,3.036666667,,,,,,,,,,
