Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_6,1.0,Calle_1 (2),Low,Medium,Hover,86.21,0.0,53.53,2.973888889,,,,,,,,,,
Ep_6,2.0,Calle_1 (3),Low,Medium,Hover,81.25,0.0,55.44,3.08,,,,,,,,,,
Ep_6,3.0,Calle_1 (3),Low,Medium,Hover,81.25,0.0,55.28,3.071111111,,,,,,,,,,
Ep_6,4.0,Calle_1 (4),Low,Medium,Hover,73.17,0.0,55.24,3.068888889,,,,,,,,,,
Ep_6,5.0,Calle_1 (3),Low,Medium,Hover,84.62,0.0,54.92,3.051111111,,,,,,,,,,
Ep_6,6.0,Calle_1,Low,Medium,Hover,84.85,0.0,55.02,3.056666667,,,,,,,,,,
Ep_6,7.0,Calle_1 (1),Low,Medium,Hover,91.43,0.0,54.67,3.037222222,,,,,,,,,,
Ep_6,8.0,Calle_1 (5),Low,Medium,Hover,91.43,0.0,55.34,3.074444444,,,,,,,,,,
Ep_6,9.0,Calle_1 (1),Low,Medium,Hover,73.91,0.0,54.75,3.041666667,,,,,,,,,,
Ep_6,10.0,Calle_1 (4),Low,Medium,Hover,96.77,0.0,55.57,3.087222222,,,,,,,,,,
Ep_6,11.0,Calle_1 (4),Low,Medium,Hover,75.0,0.0,55.33,3.073888889,,,,,,,,,,
Ep_6,12.0,Calle_1 (4),Low,Medium,Hover,83.33,0.0,55.63,3.090555556,,,,,,,,,,
Ep_6,13.0,Calle_1 (6),Low,Medium,Hover,72.41,0.0,54.96,3.053333333,,,,,,,,,,
Ep_6,14.0,Calle_1,Low,Medium,Hover,88.0,0.0,54.92,3.051111111,,,,,,,,,,
Ep_6,15.0,Calle_1 (6),Low,Medium,Hover,81.48,0.0,54.82,3.045555556,,,,,,,,,,
Ep_6,16.0,Calle_1,Low,Medium,Hover,80.95,0.0,54.74,3.041111111,,,,,,,,,,
Ep_6,17.0,Calle_1 (3),Low,Medium,Hover,70.59,0.0,54.74,3.041111111,,,,,,,,,,
Ep_6,18.0,Calle_1 (2),Low,Medium,Hover,90.48,0.0,54.84,3.046666667,,,,,,,,,,
Ep_6,19.0,Calle_1 (2),Low,Medium,Hover,95.45,0.0,54.85,3.047222222,,,,,,,,,,
Ep_6,20.0,Calle_1 (5),Low,Medium,Hover,89.29,0.0,55.07,3.059444444,,,,,,,,,,
Ep_7,1.0,Calle_1 (1),Low,Medium,Micro,86.84,0.0,54.75,3.041666667,,,,,,,,,,
Ep_7,2.0,Calle_1 (5),Low,Medium,Micro,91.67,0.0,59.59,3.310555556,,,,,,,,,,
Ep_7,3.0,Calle_1 (3),Low,Medium,Micro,72.22,0.0,59.19,3.288333333,,,,,,,,,,
Ep_7,4.0,Calle_1,Low,Medium,Micro,70.73,0.0,58.92,3.273333333,,,,,,,,,,
Ep_7,5.0,Calle_1 (5),Low,Medium,Micro,75.76,0.0,58.67,3.259444444,,,,,,,,,,
Ep_7,6.0,Calle_1 (5),Low,Medium,Micro,90.91,0.0,57.64,3.202222222,,,,,,,,,,
Ep_7,7.0,Calle_1 (5),Low,Medium,Micro,81.08,0.0,59.42,3.301111111,,,,,,,,,,
Ep_7,8.0,Calle_1 (3),Low,Medium,Micro,86.36,0.0,59.69,3.316111111,,,,,,,,,,
Ep_7,9.0,Calle_1 (4),Low,Medium,Micro,71.88,0.0,59.06,3.281111111,,,,,,,,,,
Ep_7,10.0,Calle_1 (5),Low,Medium,Micro,96.88,0.0,58.96,3.275555556,,,,,,,,,,
Ep_7,11.0,Calle_1 (1),Low,Medium,Micro,87.5,0.0,59.45,3.302777778,,,,,,,,,,
Ep_7,12.0,Calle_1 (1),Low,Medium,Micro,73.33,0.0,58.14,3.23,,,,,,,,,,
Ep_7,13.0,Calle_1,Low,Medium,Micro,73.68,0.0,58.17,3.231666667,,,,,,,,,,
Ep_7,14.0,Calle_1 (2),Low,Medium,Micro,84.21,0.0,58.09,3.227222222,,,,,,,,,,
Ep_7,15.0,Calle_1 (2),Low,Medium,Micro,58.33,0.0,58.98,3.276666667,,,,,,,,,,
Ep_7,16.0,Calle_1 (5),Low,Medium,Micro,90.0,0.0,58.92,3.273333333,,,,,,,,,,
Ep_7,17.0,Calle_1 (3),Low,Medium,Micro,94.12,0.0,59.84,3.324444444,,,,,,,,,,
Ep_7,18.0,Calle_1 (1),Low,Medium,Micro,82.76,0.0,58.97,3.276111111,,,,,,,,,,
Ep_7,19.0,Calle_1,Low,Medium,Micro,100.0,0.0,59.22,3.29,,,,,,,,,,
Ep_7,20.0,Calle_1,Low,Medium,Micro,85.71,0.0,57.91,3.217222222,,,,,,,,,,
Ep_8,1.0,Calle_1 (6),Low,Medium,Skip,56.0,20.0,113.52,6.306666667,,,,,,,,,,
